original,replacement
Venusaur,Clawitzer
Charizard,Clawitzer
Blastoise,Klawf
Butterfree,Crawdaunt
Beedrill,Kabutops
Pidgeot,Kabutops
Raticate,Kabutops
Fearow,Kabutops
Arbok,Kabutops
Raichu,Kabutops
Sandslash,Klawf
Nidoqueen,Clawitzer
Nidoking,Klawf
Clefable,Clawitzer
Ninetales,Clawitzer
Wigglytuff,Crabominable
Vileplume,Clawitzer
Parasect,Parasect
Venomoth,Kabutops
Dugtrio,Kabutops
Persian,Kabutops
Golduck,Clawitzer
Primeape,Kabutops
Arcanine,Kabutops
Poliwrath,Klawf
Alakazam,Clawitzer
Machamp,Crabominable
Victreebel,Klawf
Tentacruel,Clawitzer
Golem,Crustle
Rapidash,Kabutops
Slowbro,Parasect
Farfetch'd,Kingler
Dodrio,Kabutops
Dewgong,Clawitzer
Muk,Crabominable
Cloyster,Klawf
Gengar,Clawitzer
Hypno,Clawitzer
Kingler,Kingler
Electrode,Kabutops
Exeggutor,Clawitzer
Marowak,Parasect
Hitmonlee,Kabutops
Hitmonchan,Kabutops
Weezing,Crawdaunt
Kangaskhan,Crabominable
Seaking,Crustle
Starmie,Clawitzer
Mr. Mime,Crawdaunt
Jynx,Clawitzer
Pinsir,Kabutops
Tauros,Klawf
Gyarados,Crabominable
Lapras,Crabominable
Ditto,Kingler
Vaporeon,Clawitzer
Jolteon,Clawitzer
Flareon,Crawdaunt
Omastar,Clawitzer
Kabutops,Kabutops
Aerodactyl,Kabutops
Snorlax,Crabominable
Articuno,Klawf
Zapdos,Clawitzer
Moltres,Clawitzer
Dragonite,Kabutops
Mewtwo,Kabutops
Mew,Klawf
Meganium,Parasect
Typhlosion,Crustle
Feraligatr,Kingler
Furret,Klawf
Noctowl,Clawitzer
Ledian,Kabutops
Ariados,Crustle
Crobat,Kabutops
Lanturn,Crabominable
Xatu,Kabutops
Ampharos,Clawitzer
Bellossom,Crawdaunt
Azumarill,Crabominable
Sudowoodo,Parasect
Politoed,Clawitzer
Jumpluff,Clawitzer
Sunflora,Clawitzer
Quagsire,Crabominable
Espeon,Clawitzer
Umbreon,Crabominable
Slowking,Parasect
Unown,Crawdaunt
Wobbuffet,Crabominable
Girafarig,Klawf
Forretress,Crustle
Dunsparce,Crabominable
Steelix,Parasect
Granbull,Crabominable
Qwilfish,Klawf
Scizor,Crustle
Shuckle,Crustle
Heracross,Kabutops
Ursaring,Crabominable
Magcargo,Parasect
Corsola,Parasect
Octillery,Crustle
Delibird,Kingler
Mantine,Crawdaunt
Skarmory,Klawf
Houndoom,Clawitzer
Kingdra,Klawf
Donphan,Crabominable
Stantler,Klawf
Smeargle,Kingler
Hitmontop,Kingler
Miltank,Klawf
Blissey,Crabominable
Raikou,Clawitzer
Entei,Kabutops
Suicune,Klawf
Tyranitar,Crabominable
Lugia,Klawf
Ho-Oh,Crabominable
Celebi,Klawf
Sceptile,Clawitzer
Blaziken,Kabutops
Swampert,Crawdaunt
Mightyena,Klawf
Beautifly,Crawdaunt
Dustox,Clawitzer
Ludicolo,Clawitzer
Shiftry,Klawf
Swellow,Kabutops
Pelipper,Crawdaunt
Gardevoir,Clawitzer
Masquerain,Clawitzer
Breloom,Kingler
Slaking,Crabominable
Ninjask,Kingler
Shedinja,Parasect
Exploud,Crabominable
Hariyama,Crabominable
Delcatty,Klawf
Sableye,Crustle
Mawile,Parasect
Aggron,Crustle
Medicham,Kabutops
Manectric,Klawf
Plusle,Kabutops
Minun,Kabutops
Volbeat,Clawitzer
Illumise,Kabutops
Swalot,Crabominable
Sharpedo,Kingler
Wailord,Crawdaunt
Camerupt,Crustle
Torkoal,Parasect
Grumpig,Crawdaunt
Spinda,Kabutops
Flygon,Klawf
Cacturne,Crawdaunt
Altaria,Clawitzer
Zangoose,Kabutops
Seviper,Klawf
Lunatone,Clawitzer
Solrock,Klawf
Whiscash,Crabominable
Crawdaunt,Crawdaunt
Claydol,Kabutops
Cradily,Clawitzer
Armaldo,Crustle
Milotic,Clawitzer
Castform,Kabutops
Kecleon,Parasect
Banette,Crawdaunt
Tropius,Crabominable
Chimecho,Crawdaunt
Absol,Kingler
Glalie,Kabutops
Walrein,Clawitzer
Huntail,Crustle
Gorebyss,Parasect
Relicanth,Crabominable
Luvdisc,Kingler
Salamence,Crabominable
Metagross,Clawitzer
Regirock,Crustle
Regice,Crawdaunt
Registeel,Crustle
Latias,Clawitzer
Latios,Clawitzer
Kyogre,Klawf
Groudon,Clawitzer
Rayquaza,Crabominable
Jirachi,Klawf
Deoxys,Kingler
Torterra,Crabominable
Infernape,Kabutops
Empoleon,Clawitzer
Staraptor,Kabutops
Bibarel,Klawf
Kricketune,Klawf
Luxray,Crawdaunt
Roserade,Clawitzer
Rampardos,Crabominable
Bastiodon,Parasect
Wormadam,Parasect
Mothim,Klawf
Vespiquen,Clawitzer
Pachirisu,Kabutops
Floatzel,Klawf
Cherrim,Kabutops
Gastrodon,Crabominable
Ambipom,Klawf
Drifblim,Klawf
Lopunny,Clawitzer
Mismagius,Clawitzer
Honchkrow,Crabominable
Purugly,Kabutops
Skuntank,Klawf
Bronzong,Crustle
Chatot,Crawdaunt
Spiritomb,Parasect
Garchomp,Crabominable
Lucario,Kabutops
Hippowdon,Crabominable
Drapion,Kabutops
Toxicroak,Klawf
Carnivine,Crustle
Lumineon,Kabutops
Abomasnow,Clawitzer
Weavile,Kabutops
Magnezone,Clawitzer
Lickilicky,Crabominable
Rhyperior,Crabominable
Tangrowth,Crustle
Electivire,Kabutops
Magmortar,Clawitzer
Togekiss,Clawitzer
Yanmega,Clawitzer
Leafeon,Kabutops
Glaceon,Clawitzer
Gliscor,Klawf
Mamoswine,Crabominable
Porygon-Z,Clawitzer
Gallade,Kabutops
Probopass,Crustle
Dusknoir,Crustle
Froslass,Kabutops
Rotom,Kabutops
Uxie,Kabutops
Mesprit,Kabutops
Azelf,Kabutops
Dialga,Kabutops
Palkia,Kabutops
Heatran,Klawf
Regigigas,Kabutops
Giratina,Klawf
Cresselia,Kabutops
Phione,Kabutops
Manaphy,Klawf
Darkrai,Clawitzer
Shaymin,Klawf
Arceus,Kabutops